날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 07,서울 강남구 ,강남구,111261,0.005,0.5,0.01,0.034,54,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 08,서울 강남구 ,강남구,111261,0.004,0.4,0.019,0.029,65,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 09,서울 강남구 ,강남구,111261,0.005,0.4,0.031,0.023,65,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 10,서울 강남구 ,강남구,111261,0.005,0.3,0.042,0.021,44,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 11,서울 강남구 ,강남구,111261,0.004,0.3,0.055,0.017,39,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 12,서울 강남구 ,강남구,111261,0.005,0.3,0.07,0.013,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 13,서울 강남구 ,강남구,111261,0.005,0.3,0.08,0.014,43,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 14,서울 강남구 ,강남구,111261,0.005,0.3,0.087,0.016,42,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 15,서울 강남구 ,강남구,111261,0.005,0.3,0.089,0.01,39,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 16,서울 강남구 ,강남구,111261,0.005,0.3,0.083,0.013,33,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 17,서울 강남구 ,강남구,111261,0.004,0.3,0.084,0.015,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 18,서울 강남구 ,강남구,111261,0.005,0.3,0.084,0.012,37,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 19,서울 강남구 ,강남구,111261,0.005,0.4,0.077,0.028,59,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 20,서울 강남구 ,강남구,111261,0.005,0.4,0.056,0.035,67,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 21,서울 강남구 ,강남구,111261,0.005,0.4,0.045,0.04,54,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 22,서울 강남구 ,강남구,111261,0.005,0.4,0.045,0.037,52,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 23,서울 강남구 ,강남구,111261,0.005,0.4,0.032,0.047,57,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-05 24,서울 강남구 ,강남구,111261,0.004,0.5,0.025,0.05,63,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
